KOL ID,Serial Number,Project_Type,Project_Data_Point,Project_Data Point_Expl,Salutation,Last Name,First Name,Vlookup Name,Full Name,City,Country,Position,Department,Affiliation,E_mail,Contact Info,URL,Organization,Organization_Committee,Organization_Role,Congress,Congress_Year,Congress_Session,Congress_Title_of_Session,Congress_Role,Journal,Journal_Editorial Board,Journal_Role,Guideline_Name,Guideline_Year,Guideline_Role,CT_NCT_Id_Breast Cancer,title,recruiting,conditions,interventions,lead_sponsor,other_sponsor,phase,study_type,Role,start_dt,end_dt,First Author,Last Author,Total Pub Count,Total 2002-2006,Total 2007-2011,Total 2012-2017
,126,CLINICAL,JOURNAL,JOURNAL_Molecular Cancer Research,,Altieri,Dario C,Altieri D,Dario C Altieri,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://mcr.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Molecular Cancer Research,Cell Death and Survival,Senior Editor,,,,,,,,,,,,,,,,,,,,,
,130,CLINICAL,JOURNAL,JOURNAL_Journal of Oncology Practice,,Amato,Robert,Amato R,Robert Amato,Houston,USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://ascopubs.org/jop/site/misc/edboard.xhtml,,,,,,,,,Journal of Oncology Practice,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,136,CLINICAL,JOURNAL,JOURNAL_Molecular Cancer Therapeutics,,Ambudkar,Suresh V,Ambudkar S,Suresh V Ambudkar,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://mct.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Molecular Cancer Therapeutics,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,137,CLINICAL,JOURNAL,JOURNAL_Clinical Cancer Research,,Amengual,Jennifer,Amengual J,Jennifer Amengual,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://clincancerres.aacrjournals.org/site/misc/edboard.xhtml#,,,,,,,,,Clinical Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,142,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Anant,Shrikant,Anant S,Shrikant Anant,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,145,CLINICAL,JOURNAL,JOURNAL_Clinical Breast Cancer,,Anders,Carey K,Anders C,Carey K Anders,Chapel Hill,USA,(Blank),(Blank),University of North Carolina,(Blank),(Blank),http://www.clinical-breast-cancer.com/content/edboard,,,,,,,,,Clinical Breast Cancer,,Associate Editor,,,,,,,,,,,,,,,,,,,,,
,149,CLINICAL,JOURNAL,JOURNAL_Clinical Cancer Research,,Anders,Carey K,Anders C,Carey K Anders,Chapel Hill,USA,(Blank),(Blank),University of North Carolina,(Blank),(Blank),http://clincancerres.aacrjournals.org/site/misc/edboard.xhtml#,,,,,,,,,Clinical Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,159,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Anderson,Alexander RA,Anderson A,Alexander RA Anderson,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,168,CLINICAL,JOURNAL,JOURNAL_Journal of Global Oncology,,Anderson,Benjamin O,Anderson B,Benjamin O Anderson,Seattle,USA,(Blank),(Blank),University of Washington School of Medicine,(Blank),(Blank),http://ascopubs.org/jgo/site/misc/editorial-roster.html,,,,,,,,,Journal of Global Oncology,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,180,CLINICAL,JOURNAL,JOURNAL_American Journal of Cancer Research,,Anderson,Matthew l,Anderson M,Matthew l Anderson,(Blank),USA,(Blank),(Blank),Baylor College of Medicine,(Blank),(Blank),http://www.ajcr.us/EditorialBoard.html,,,,,,,,,American Journal of Cancer Research,Associate Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,181,CLINICAL,JOURNAL,JOURNAL_Breast Cancer Research,,Anderson,Steven M,Anderson S,Steven M Anderson,Aurora,USA,(Blank),(Blank),University of Colorado Anschutz Medical Campus,(Blank),(Blank),https://breast-cancer-research.biomedcentral.com/about/editorial-board,,,,,,,,,Breast Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,184,CLINICAL,JOURNAL,JOURNAL_American Journal of Cancer Research,,Andl,Claudia D,Andl C,Claudia D Andl,(Blank),USA,(Blank),(Blank),Vanderbilt University,(Blank),(Blank),http://www.ajcr.us/EditorialBoard.html,,,,,,,,,American Journal of Cancer Research,Associate Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,188,CLINICAL,JOURNAL,JOURNAL_American Journal of Cancer Research,,Andrechek,Eran,Andrechek E,Eran Andrechek,(Blank),USA,(Blank),(Blank),Michigan State University,(Blank),(Blank),http://www.ajcr.us/EditorialBoard.html,,,,,,,,,American Journal of Cancer Research,Associate Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,191,CLINICAL,JOURNAL,JOURNAL_Molecular Cancer Therapeutics,,Andrews,Paul A,Andrews P,Paul A Andrews,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://mct.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Molecular Cancer Therapeutics,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,195,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Anichini,Andrea,Anichini A,Andrea Anichini,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,202,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Apetoh,Lionel,Apetoh L,Lionel Apetoh,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,203,CLINICAL,JOURNAL,JOURNAL_Molecular Cancer Research,,Aplin,Andrew E,Aplin A,Andrew E Aplin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://mcr.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Molecular Cancer Research,Signal Transduction,Senior Editor,,,,,,,,,,,,,,,,,,,,,
,204,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Aplin,Andrew E,Aplin A,Andrew E Aplin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,210,CLINICAL,JOURNAL,JOURNAL_American Journal of Cancer Research,,Ariizumi,Kiyoshi,Ariizumi K,Kiyoshi Ariizumi,(Blank),USA,(Blank),(Blank),University of Texas Southwestern,(Blank),(Blank),http://www.ajcr.us/EditorialBoard.html,,,,,,,,,American Journal of Cancer Research,Senior Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,221,CLINICAL,JOURNAL,JOURNAL_Cancer Discovery,,Armstrong,Scott A,Armstrong S,Scott A Armstrong,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerdiscovery.aacrjournals.org/site/misc/editors.xhtml,,,,,,,,,Cancer Discovery,,Scientific Editor,,,,,,,,,,,,,,,,,,,,,
,228,CLINICAL,JOURNAL,JOURNAL_Molecular Cancer Research,,Artandi,Steven E,Artandi S,Steven E Artandi,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://mcr.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Molecular Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,232,CLINICAL,JOURNAL,JOURNAL_Breast Cancer Research,,Arteaga,Carlos L,Arteaga C,Carlos L Arteaga,Nashville,USA,Professor,Department of Medicine,Vanderbilt University,(Blank),(Blank),https://breast-cancer-research.biomedcentral.com/about/editorial-board,,,,,,,,,Breast Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,243,CLINICAL,JOURNAL,JOURNAL_Cancer Discovery,,Arteaga,Carlos L,Arteaga C,Carlos L Arteaga,Nashville,USA,Professor,Department of Medicine,Vanderbilt University,(Blank),(Blank),http://cancerdiscovery.aacrjournals.org/site/misc/editors.xhtml,,,,,,,,,Cancer Discovery,,Scientific Editor,,,,,,,,,,,,,,,,,,,,,
,265,CLINICAL,JOURNAL,JOURNAL_Molecular Cancer Therapeutics,,Ashkenazi,Avi,Ashkenazi A,Avi Ashkenazi,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://mct.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Molecular Cancer Therapeutics,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,270,CLINICAL,JOURNAL,JOURNAL_Cancer Discovery,,Ashworth,Alan,Ashworth A,Alan Ashworth,San Francisco,USA,(Blank),(Blank),UCSF Helen Diller Family Comprehensive Cancer Center,(Blank),(Blank),http://cancerdiscovery.aacrjournals.org/site/misc/editors.xhtml,,,,,,,,,Cancer Discovery,,Scientific Editor,,,,,,,,,,,,,,,,,,,,,
,284,CLINICAL,JOURNAL,JOURNAL_Journal of Oncology Practice,,Attai,Deanna J,Attai D,Deanna J Attai,Los Angeles,USA,(Blank),(Blank),University of California Los Angeles,(Blank),(Blank),http://ascopubs.org/jop/site/misc/edboard.xhtml,,,,,,,,,Journal of Oncology Practice,,Consultant Editor,,,,,,,,,,,,,,,,,,,,,
,298,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Augustin,Hellmut G,Augustin H,Hellmut G Augustin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Microenvironment & Immunology,Senior Editor,,,,,,,,,,,,,,,,,,,,,
,302,CLINICAL,JOURNAL,JOURNAL_Clinical Cancer Research,,Avigan,David ,Avigan D,David  Avigan,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://clincancerres.aacrjournals.org/site/misc/edboard.xhtml#,,,,,,,,,Clinical Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,303,CLINICAL,JOURNAL,JOURNAL_Annals of Breast Cancer Research,,Avisar,Eli,Avisar E,Eli Avisar,(Blank),USA,(Blank),(Blank),University of Miami,(Blank),(Blank),https://www.jscimedcentral.com/BreastCancer/editors.php,,,,,,,,,Annals of Breast Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,313,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Baccarini,Manuela,Baccarini M,Manuela Baccarini,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,316,CLINICAL,JOURNAL,JOURNAL_Molecular Cancer Therapeutics,,Bachmann,André S,Bachmann A,André S Bachmann,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://mct.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Molecular Cancer Therapeutics,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,321,CLINICAL,JOURNAL,JOURNAL_American Journal of Cancer Research,,Bader,Andreas G,Bader A,Andreas G Bader,(Blank),USA,(Blank),(Blank),Mirna Therapeutics,(Blank),(Blank),http://www.ajcr.us/EditorialBoard.html,,,,,,,,,American Journal of Cancer Research,Associate Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,322,CLINICAL,JOURNAL,JOURNAL_Clinical Breast Cancer,,Badve,Sunil S,Badve S,Sunil S Badve,Indianapolis,USA,Associate Professor,Department of Pathology and Laboratory Medicine,Indiana University Hospital,(Blank),(Blank),http://www.clinical-breast-cancer.com/content/edboard,,,,,,,,,Clinical Breast Cancer,,Associate Editor,,,,,,,,,,,,,,,,,,,,,
,327,CLINICAL,JOURNAL,JOURNAL_Molecular Cancer Therapeutics,,Baffa,Raffaele,Baffa R,Raffaele Baffa,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://mct.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Molecular Cancer Therapeutics,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,330,CLINICAL,JOURNAL,JOURNAL_Clinical Cancer Research,,Bagley,Rebecca G,Bagley R,Rebecca G Bagley,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://clincancerres.aacrjournals.org/site/misc/edboard.xhtml#,,,,,,,,,Clinical Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,331,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Bagley,Rebecca G,Bagley R,Rebecca G Bagley,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,"Therapeutics, Targets & Chemical Biology",Senior Editor,,,,,,,,,,,,,,,,,,,,,
,332,CLINICAL,JOURNAL,JOURNAL_Molecular Cancer Therapeutics,,Bagley,Rebecca G,Bagley R,Rebecca G Bagley,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://mct.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Molecular Cancer Therapeutics,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,339,CLINICAL,JOURNAL,JOURNAL_Journal of Oncology Practice,,Balaban,Edward Paul,Balaban E,Edward Paul Balaban,State College,USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://ascopubs.org/jop/site/misc/edboard.xhtml,,,,,,,,,Journal of Oncology Practice,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,341,CLINICAL,JOURNAL,JOURNAL_Molecular Cancer Therapeutics,,Baldwin,Albert S,Baldwin A,Albert S Baldwin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://mct.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Molecular Cancer Therapeutics,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,342,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Balk,Steven P,Balk S,Steven P Balk,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Molecular & Cellular Pathobiology,Senior Editor,,,,,,,,,,,,,,,,,,,,,
,344,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Balkwill,Frances,Balkwill F,Frances Balkwill,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,346,CLINICAL,JOURNAL,JOURNAL_Journal of Clinical Oncology,,Ballman,Karla V,Ballman K,Karla V Ballman,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://ascopubs.org/jco/site/misc/edboard.xhtml,,,,,,,,,Journal of Clinical Oncology,,Associate Editor,,,,,,,,,,,,,,,,,,,,,
,347,CLINICAL,JOURNAL,JOURNAL_Journal of Clinical Oncology,,Ballman,Karla V,Ballman K,Karla V Ballman,(Blank),USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://ascopubs.org/jco/site/misc/edboard.xhtml,,,,,,,,,Journal of Clinical Oncology,,Associate Editor,,,,,,,,,,,,,,,,,,,,,
,355,CLINICAL,JOURNAL,JOURNAL_Breast Cancer Research,,Band,Vimla,Band V,Vimla Band,(Blank),USA,(Blank),(Blank),University of Nebraska Medical Center,(Blank),(Blank),https://breast-cancer-research.biomedcentral.com/about/editorial-board,,,,,,,,,Breast Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,356,CLINICAL,JOURNAL,JOURNAL_Breast Cancer: Basic and Clinical Research,,Band,Vimla,Band V,Vimla Band,(Blank),USA,(Blank),(Blank),University of Nebraska Medical Center,(Blank),(Blank),http://insights.sagepub.com/journal.php?pa=editorial_board&journal_id=84,,,,,,,,,Breast Cancer: Basic and Clinical Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,367,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Barbacid,Mariano,Barbacid M,Mariano Barbacid,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,,Deputy Editor for Meeting Reports,,,,,,,,,,,,,,,,,,,,,
,372,CLINICAL,JOURNAL,JOURNAL_Breast Cancer Research,,Barcellos-Hoff,Mary Helen,Barcellos-Hoff M,Mary Helen Barcellos-Hoff,(Blank),USA,(Blank),(Blank),NYU Langone Medical Center,(Blank),(Blank),https://breast-cancer-research.biomedcentral.com/about/editorial-board,,,,,,,,,Breast Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,376,CLINICAL,JOURNAL,JOURNAL_Cancer Discovery,,Bardelli,Alberto,Bardelli A,Alberto Bardelli,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerdiscovery.aacrjournals.org/site/misc/editors.xhtml,,,,,,,,,Cancer Discovery,,Scientific Editor,,,,,,,,,,,,,,,,,,,,,
,384,CLINICAL,JOURNAL,JOURNAL_American Journal of Cancer Research,,Baron,Véronique,Baron V,Véronique Baron,(Blank),USA,(Blank),(Blank),Vaccine Research Institute,(Blank),(Blank),http://www.ajcr.us/EditorialBoard.html,,,,,,,,,American Journal of Cancer Research,Associate Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,412,CLINICAL,JOURNAL,JOURNAL_Journal of Oncology Practice,,Basch,Ethan M,Basch E,Ethan M Basch,Chapel Hill,USA,(Blank),(Blank),University of North Carolina at Chapel Hill,(Blank),(Blank),http://ascopubs.org/jop/site/misc/edboard.xhtml,,,,,,,,,Journal of Oncology Practice,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,423,CLINICAL,JOURNAL,JOURNAL_Cancer Discovery,,Baselga,Jose,Baselga J,Jose Baselga,New York,USA,Physician-in-Chief and Chief Medical Officer,(Blank),Memorial Sloan-Kettering Cancer Center,(Blank),(Blank),http://cancerdiscovery.aacrjournals.org/site/misc/editors.xhtml,,,,,,,,,Cancer Discovery,,Editors-in-Chief,,,,,,,,,,,,,,,,,,,,,
,435,CLINICAL,JOURNAL,JOURNAL_American Journal of Cancer Research,,Basu,Alakananda,Basu A,Alakananda Basu,(Blank),USA,(Blank),(Blank),University of North Texas Health Science Center,(Blank),(Blank),http://www.ajcr.us/EditorialBoard.html,,,,,,,,,American Journal of Cancer Research,Senior Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,436,CLINICAL,JOURNAL,JOURNAL_Breast Cancer: Basic and Clinical Research,,Basu,Alakananda,Basu A,Alakananda Basu,(Blank),USA,(Blank),(Blank),University of North Texas Health Science Center,(Blank),(Blank),http://insights.sagepub.com/journal.php?pa=editorial_board&journal_id=84,,,,,,,,,Breast Cancer: Basic and Clinical Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,439,CLINICAL,JOURNAL,JOURNAL_Clinical Cancer Research,,Bates,Susan E,Bates S,Susan E Bates,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://clincancerres.aacrjournals.org/site/misc/edboard.xhtml#,,,,,,,,,Clinical Cancer Research,,Deputy Editor,,,,,,,,,,,,,,,,,,,,,
,440,CLINICAL,JOURNAL,JOURNAL_Clinical Cancer Research,,Batra,Surinder K,Batra S,Surinder K Batra,(Blank),USA,(Blank),(Blank),University of Nebraska,(Blank),(Blank),http://clincancerres.aacrjournals.org/site/misc/edboard.xhtml#,,,,,,,,,Clinical Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,441,CLINICAL,JOURNAL,JOURNAL_American Journal of Cancer Research,,Batra,Surinder K,Batra S,Surinder K Batra,(Blank),USA,(Blank),(Blank),University of Nebraska,(Blank),(Blank),http://www.ajcr.us/EditorialBoard.html,,,,,,,,,American Journal of Cancer Research,Senior Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,448,CLINICAL,JOURNAL,JOURNAL_Clinical Cancer Research,,Bauman,Julie E,Bauman J,Julie E Bauman,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://clincancerres.aacrjournals.org/site/misc/edboard.xhtml#,,,,,,,,,Clinical Cancer Research,,Deputy Editor,,,,,,,,,,,,,,,,,,,,,
,449,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Baumann,William T,Baumann W,William T Baumann,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,458,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Beatty,Gregory Lawrence,Beatty G,Gregory Lawrence Beatty,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,475,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Behbod,Fariba,Behbod F,Fariba Behbod,(Blank),USA,(Blank),(Blank),Northwestern University,(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,478,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Bekker-Jensen,Simon,Bekker-Jensen S,Simon Bekker-Jensen,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,481,CLINICAL,JOURNAL,JOURNAL_Advances in Breast Cancer Research,,Belkhiri,Abbes,Belkhiri A,Abbes Belkhiri,(Blank),USA,(Blank),(Blank),Vanderbilt University,(Blank),(Blank),http://www.scirp.org/Journal/EditorialBoard.aspx?JournalID=1478#.WQGOyfmGPIU,,,,,,,,,Advances in Breast Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,491,CLINICAL,JOURNAL,JOURNAL_American Journal of Cancer Research,,Belmont,Lisa D,Belmont L,Lisa D Belmont,(Blank),USA,(Blank),(Blank),Genentech,(Blank),(Blank),http://www.ajcr.us/EditorialBoard.html,,,,,,,,,American Journal of Cancer Research,Associate Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,496,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Bendriss-Vermare,Nathalie,Bendriss-Vermare N,Nathalie Bendriss-Vermare,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,498,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Benjamin,Laura E,Benjamin L,Laura E Benjamin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,"Tumor & Stem Cell Biology
",Senior Editor,,,,,,,,,,,,,,,,,,,,,
,499,CLINICAL,JOURNAL,JOURNAL_Molecular Cancer Therapeutics,,Benjamin,Laura E,Benjamin L,Laura E Benjamin,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://mct.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Molecular Cancer Therapeutics,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,500,CLINICAL,JOURNAL,JOURNAL_Journal of Oncology Practice,,Bennett,Charles Lee,Bennett C,Charles Lee Bennett,Charleston,USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://ascopubs.org/jop/site/misc/edboard.xhtml,,,,,,,,,Journal of Oncology Practice,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,508,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Bentires-Alj,Mohamed,Bentires-Alj M,Mohamed Bentires-Alj,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,514,CLINICAL,JOURNAL,JOURNAL_American Journal of Cancer Research,,Berberich,Steven J,Berberich S,Steven J Berberich,(Blank),USA,(Blank),(Blank),Wright State University,(Blank),(Blank),http://www.ajcr.us/EditorialBoard.html,,,,,,,,,American Journal of Cancer Research,Senior Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,519,CLINICAL,JOURNAL,JOURNAL_Clinical Cancer Research,,Berenson,James,Berenson J,James Berenson,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://clincancerres.aacrjournals.org/site/misc/edboard.xhtml#,,,,,,,,,Clinical Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,523,CLINICAL,JOURNAL,JOURNAL_Clinical Cancer Research,,Bergan,Ray,Bergan R,Ray Bergan,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://clincancerres.aacrjournals.org/site/misc/edboard.xhtml#,,,,,,,,,Clinical Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,529,CLINICAL,JOURNAL,JOURNAL_Cancer Research,,Bergers,Gabriele,Bergers G,Gabriele Bergers,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerres.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,537,CLINICAL,JOURNAL,JOURNAL_Molecular Cancer Research,,Bernards,Rene,Bernards R,Rene Bernards,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://mcr.aacrjournals.org/site/misc/edboard.xhtml,,,,,,,,,Molecular Cancer Research,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,540,CLINICAL,JOURNAL,JOURNAL_Cancer Discovery,,Bernards,Rene,Bernards R,Rene Bernards,(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),(Blank),http://cancerdiscovery.aacrjournals.org/site/misc/editors.xhtml,,,,,,,,,Cancer Discovery,,Scientific Editor,,,,,,,,,,,,,,,,,,,,,
,541,CLINICAL,JOURNAL,JOURNAL_Journal of Oncology Practice,,Bernicker,Eric H,Bernicker E,Eric H Bernicker,Houston,USA,(Blank),(Blank),(Blank),(Blank),(Blank),http://ascopubs.org/jop/site/misc/edboard.xhtml,,,,,,,,,Journal of Oncology Practice,Editorial Board,Member,,,,,,,,,,,,,,,,,,,,,
,545,CLINICAL,JOURNAL,JOURNAL_Breast Cancer Research,,Bernstein,Leslie,Bernstein L,Leslie Bernstein,(Blank),USA,(Blank),(Blank),City of Hope,(Blank),(Blank),https://breast-cancer-research.biomedcentral.com/about/editorial-board,,,,,,,,,Breast Cancer Research,,Deputy Editor,,,,,,,,,,,,,,,,,,,,,
